rank,feature,mean_abs_shap
150,Q_Area_aVR,0.0008684241382949022
151,T_Dur_V3,0.0008622463130460947
152,T_Dur_V6,0.0008602394013840342
153,P_PeakTime_V6,0.0008575902180066575
154,ST_AmpMax_I,0.0008571082207300895
155,S_PeakTime_II,0.0008569317486110044
156,P+_Dur_V4,0.0008544658792478839
157,P_OnsAmp_V4,0.0008526911770751215
158,T_DurFull_V1,0.0008512109313627496
159,R_Dur_aVR,0.000850051724475377
160,P_Area_V1,0.0008498860385318031
161,T_PeakTime_aVF,0.0008434681669469934
162,P+_Amp_V3,0.000835604192361251
163,S_PeakTime_V5,0.0008352078664446338
164,ST_AmpMax_aVL,0.0008330304623498739
165,S_Dur_aVL,0.0008285679235750811
166,Q_PeakTime_aVR,0.0008230210408302139
167,R_PeakTime_aVR,0.00082285643143971
168,Q_Dur_aVR,0.0008168093492261804
169,T_AreaFull_I,0.0008161158755040823
170,P+_Dur_V2,0.0008147669732132465
171,T_Dur_V5,0.0008139838773322459
172,P_PeakTime_II,0.0008127435786114756
173,T_Area_aVL,0.0008070720785246585
174,Rp_Amp_aVR,0.000798586175640134
175,P_OnsAmp_V2,0.0007976928042494473
176,QRS_AmpPP_I,0.0007943643866137294
177,P_Morph_aVF,0.0007897843629495275
178,P_Amp_V1,0.0007841852732353484
179,S_PeakTime_aVL,0.000782669417193897
180,T+_Dur_V3,0.0007806713329902908
181,QRS_Dur_Global,0.0007741349663029242
182,T-_Dur_V1,0.0007716206034551673
183,T_Dur_II,0.0007649833961176853
184,T-_Dur_I,0.0007555434506969754
185,P+_Dur_III,0.000752318667807052
186,Pp_Dur_V2,0.0007450050590999404
187,P_PeakTime_V5,0.0007394070193518071
188,P+_Amp_V6,0.0007322784656316605
189,P_DurFull_V1,0.0007303105397761609
190,Pp_Area_aVL,0.000725824308629263
191,P-_Amp_III,0.0007253660752401182
192,P_OnsAmp_V6,0.000723312568668809
193,ST_Amp_I,0.0007200540067350684
194,T+_Dur_V5,0.0007195456288234846
195,T_Off_aVR,0.0007145338658941707
196,ST_AmpMin_III,0.00071331555819264
197,ST_Amp116_III,0.0007103670621103206
198,S_PeakTime_aVF,0.0007028891257415542
199,R_PeakTime_V3,0.000697305548458809
200,P_Area_V3,0.000696679531990803
201,P_Area_V2,0.000695610008946069
202,T_Dur_I,0.000694677898894116
203,P_Area_V4,0.0006926331712874422
204,ST_AmpMin_I,0.0006925200804348175
205,T+_Amp_aVL,0.0006919064351315679
206,Q_Dur_II,0.0006881313919148291
207,T_Dur_V1,0.0006845564216902325
208,T_DurFull_V4,0.0006842262236307447
209,T+_Dur_V2,0.0006761610854133725
210,ST_AmpMin_aVL,0.0006753204676985534
211,P_PeakTime_III,0.0006684414925773009
